Time		QEq:	0.46060
1	0.46060	0.47856	0.47856
2	0.46060	0.47857	0.47856
3	0.46060	0.47857	0.47857
4	0.46060	0.47857	0.47857
5	0.46060	0.47857	0.47857
6	0.46060	0.47856	0.47857
7	0.46060	0.47857	0.47857
8	0.46060	0.47856	0.47857
9	0.46060	0.47857	0.47857
10	0.46060	0.47855	0.47856
11	0.46060	0.47856	0.47856
12	0.46060	0.47855	0.47856
13	0.46060	0.47856	0.47856
14	0.46060	0.47854	0.47856
15	0.46060	0.47855	0.47856
16	0.46060	0.47853	0.47856
17	0.46060	0.47853	0.47856
18	0.46060	0.47851	0.47855
19	0.46060	0.47851	0.47855
20	0.46060	0.47849	0.47855
21	0.46060	0.47847	0.47854
22	0.46060	0.47846	0.47854
23	0.46060	0.47842	0.47854
24	0.46060	0.47842	0.47853
25	0.46060	0.47839	0.47852
26	0.46060	0.47834	0.47852
27	0.46060	0.47832	0.47851
28	0.46060	0.47828	0.47850
29	0.46060	0.47822	0.47849
30	0.46060	0.47819	0.47848
31	0.46060	0.47814	0.47847
32	0.46060	0.47808	0.47846
33	0.46060	0.47799	0.47844
34	0.46060	0.47795	0.47843
35	0.46060	0.47789	0.47841
36	0.46060	0.47781	0.47840
37	0.46060	0.47772	0.47838
38	0.46060	0.47761	0.47836
39	0.46060	0.47749	0.47834
40	0.46060	0.47738	0.47831
41	0.46060	0.47729	0.47829
42	0.46060	0.47720	0.47826
43	0.46060	0.47708	0.47823
44	0.46060	0.47696	0.47821
45	0.46060	0.47684	0.47818
46	0.46060	0.47670	0.47814
47	0.46060	0.47655	0.47811
48	0.46060	0.47640	0.47807
49	0.46060	0.47622	0.47804
50	0.46060	0.47601	0.47800
51	0.46060	0.47580	0.47795
52	0.46060	0.47559	0.47791
53	0.46060	0.47538	0.47786
54	0.46060	0.47517	0.47781
55	0.46060	0.47496	0.47776
56	0.46060	0.47469	0.47770
57	0.46060	0.47442	0.47765
58	0.46060	0.47415	0.47759
59	0.46060	0.47388	0.47752
60	0.46060	0.47355	0.47746
61	0.46060	0.47324	0.47739
62	0.46060	0.47294	0.47732
63	0.46060	0.47259	0.47724
64	0.46060	0.47223	0.47716
65	0.46060	0.47189	0.47708
66	0.46060	0.47151	0.47700
67	0.46060	0.47113	0.47691
68	0.46060	0.47073	0.47682
69	0.46060	0.47032	0.47672
70	0.46060	0.46991	0.47663
71	0.46060	0.46946	0.47653
72	0.46060	0.46904	0.47642
73	0.46060	0.46857	0.47631
74	0.46060	0.46812	0.47620
75	0.46060	0.46762	0.47609
76	0.46060	0.46714	0.47597
77	0.46060	0.46663	0.47585
78	0.46060	0.46613	0.47573
79	0.46060	0.46559	0.47560
80	0.46060	0.46506	0.47547
81	0.46060	0.46451	0.47533
82	0.46060	0.46395	0.47519
83	0.46060	0.46339	0.47505
84	0.46060	0.46281	0.47490
85	0.46060	0.46222	0.47475
86	0.46060	0.46162	0.47460
87	0.46060	0.46102	0.47445
88	0.46060	0.46040	0.47429
89	0.46060	0.45978	0.47412
90	0.46060	0.45914	0.47396
91	0.46060	0.45850	0.47379
92	0.46060	0.45786	0.47361
93	0.46060	0.45720	0.47344
94	0.46060	0.45654	0.47326
95	0.46060	0.45587	0.47307
96	0.46060	0.45521	0.47289
97	0.46060	0.45452	0.47270
98	0.46060	0.45385	0.47251
99	0.46060	0.45315	0.47231
100	0.46060	0.45247	0.47211
101	0.46060	0.45176	0.47191
102	0.46060	0.45107	0.47171
103	0.46060	0.45036	0.47150
104	0.46060	0.44967	0.47129
105	0.46060	0.44896	0.47108
106	0.46060	0.44827	0.47086
107	0.46060	0.44755	0.47064
108	0.46060	0.44686	0.47042
109	0.46060	0.44615	0.47020
110	0.46060	0.44545	0.46998
111	0.46060	0.44477	0.46975
112	0.46060	0.44406	0.46952
113	0.46060	0.44337	0.46929
114	0.46060	0.44270	0.46905
115	0.46060	0.44201	0.46882
116	0.46060	0.44134	0.46858
117	0.46060	0.44069	0.46834
118	0.46060	0.44000	0.46810
119	0.46060	0.43935	0.46786
120	0.46060	0.43872	0.46762
121	0.46060	0.43810	0.46738
122	0.46060	0.43745	0.46713
123	0.46060	0.43682	0.46688
124	0.46060	0.43622	0.46664
125	0.46060	0.43564	0.46639
126	0.46060	0.43507	0.46614
127	0.46060	0.43453	0.46589
128	0.46060	0.43397	0.46564
129	0.46060	0.43341	0.46539
130	0.46060	0.43287	0.46514
131	0.46060	0.43233	0.46489
132	0.46060	0.43183	0.46464
133	0.46060	0.43133	0.46439
134	0.46060	0.43085	0.46414
135	0.46060	0.43039	0.46389
136	0.46060	0.42994	0.46364
137	0.46060	0.42955	0.46339
138	0.46060	0.42920	0.46314
139	0.46060	0.42884	0.46290
140	0.46060	0.42851	0.46265
141	0.46060	0.42819	0.46241
142	0.46060	0.42787	0.46216
143	0.46060	0.42759	0.46192
144	0.46060	0.42735	0.46168
145	0.46060	0.42713	0.46144
146	0.46060	0.42692	0.46121
147	0.46060	0.42672	0.46097
148	0.46060	0.42657	0.46074
149	0.46060	0.42644	0.46051
150	0.46060	0.42632	0.46028
151	0.46060	0.42626	0.46006
152	0.46060	0.42620	0.45983
153	0.46060	0.42616	0.45961
154	0.46060	0.42616	0.45940
155	0.46060	0.42616	0.45918
156	0.46060	0.42620	0.45897
157	0.46060	0.42629	0.45876
158	0.46060	0.42640	0.45856
159	0.46060	0.42655	0.45836
160	0.46060	0.42672	0.45816
161	0.46060	0.42692	0.45796
162	0.46060	0.42713	0.45777
163	0.46060	0.42737	0.45759
164	0.46060	0.42762	0.45740
165	0.46060	0.42791	0.45723
166	0.46060	0.42823	0.45705
167	0.46060	0.42858	0.45688
168	0.46060	0.42896	0.45671
169	0.46060	0.42938	0.45655
170	0.46060	0.42982	0.45640
171	0.46060	0.43027	0.45624
172	0.46060	0.43076	0.45609
173	0.46060	0.43126	0.45595
174	0.46060	0.43182	0.45581
175	0.46060	0.43238	0.45568
176	0.46060	0.43298	0.45555
177	0.46060	0.43359	0.45543
178	0.46060	0.43425	0.45531
179	0.46060	0.43491	0.45519
180	0.46060	0.43559	0.45508
181	0.46060	0.43632	0.45498
182	0.46060	0.43705	0.45488
183	0.46060	0.43782	0.45479
184	0.46060	0.43860	0.45470
185	0.46060	0.43942	0.45462
186	0.46060	0.44023	0.45454
187	0.46060	0.44110	0.45447
188	0.46060	0.44196	0.45440
189	0.46060	0.44285	0.45434
190	0.46060	0.44376	0.45429
191	0.46060	0.44469	0.45423
192	0.46060	0.44563	0.45419
193	0.46060	0.44660	0.45415
194	0.46060	0.44756	0.45412
195	0.46060	0.44857	0.45409
196	0.46060	0.44957	0.45407
197	0.46060	0.45059	0.45405
198	0.46060	0.45164	0.45404
199	0.46060	0.45267	0.45403
200	0.46060	0.45374	0.45403
201	0.46060	0.45481	0.45403
202	0.46060	0.45587	0.45404
203	0.46060	0.45698	0.45405
204	0.46060	0.45807	0.45407
205	0.46060	0.45915	0.45410
206	0.46060	0.46029	0.45413
207	0.46060	0.46140	0.45416
208	0.46060	0.46250	0.45420
209	0.46060	0.46362	0.45425
210	0.46060	0.46476	0.45430
211	0.46060	0.46589	0.45435
212	0.46060	0.46703	0.45441
213	0.46060	0.46814	0.45448
214	0.46060	0.46924	0.45455
215	0.46060	0.47034	0.45462
216	0.46060	0.47148	0.45470
217	0.46060	0.47261	0.45478
218	0.46060	0.47374	0.45487
219	0.46060	0.47487	0.45496
220	0.46060	0.47598	0.45506
221	0.46060	0.47709	0.45516
222	0.46060	0.47819	0.45526
223	0.46060	0.47929	0.45537
224	0.46060	0.48037	0.45548
225	0.46060	0.48139	0.45559
226	0.46060	0.48241	0.45571
227	0.46060	0.48342	0.45583
228	0.46060	0.48443	0.45596
229	0.46060	0.48542	0.45609
230	0.46060	0.48640	0.45622
231	0.46060	0.48737	0.45635
232	0.46060	0.48829	0.45649
233	0.46060	0.48922	0.45663
234	0.46060	0.49014	0.45678
235	0.46060	0.49102	0.45692
236	0.46060	0.49186	0.45707
237	0.46060	0.49269	0.45722
238	0.46060	0.49352	0.45737
239	0.46060	0.49429	0.45753
240	0.46060	0.49507	0.45768
241	0.46060	0.49582	0.45784
242	0.46060	0.49654	0.45800
243	0.46060	0.49725	0.45816
244	0.46060	0.49792	0.45833
245	0.46060	0.49857	0.45849
246	0.46060	0.49917	0.45866
247	0.46060	0.49974	0.45882
248	0.46060	0.50028	0.45899
249	0.46060	0.50079	0.45916
250	0.46060	0.50128	0.45933
251	0.46060	0.50173	0.45949
252	0.46060	0.50216	0.45966
253	0.46060	0.50254	0.45983
254	0.46060	0.50291	0.46000
255	0.46060	0.50324	0.46017
256	0.46060	0.50354	0.46034
257	0.46060	0.50381	0.46051
258	0.46060	0.50404	0.46068
259	0.46060	0.50425	0.46085
