	QEq	Динамический QEq	Avarage
1	0,2855	0,27675	0,27675
2	0,2855	0,27679	0,27677
3	0,2855	0,2768	0,27678
4	0,2855	0,27686	0,2768
5	0,2855	0,27695	0,27683
6	0,2855	0,27701	0,27686
7	0,2855	0,2771	0,27689
8	0,2855	0,27722	0,27693
9	0,2855	0,27734	0,27698
10	0,2855	0,27746	0,27703
11	0,2855	0,27762	0,27708
12	0,2855	0,2778	0,27714
13	0,2855	0,27796	0,2772
14	0,2855	0,27814	0,27727
15	0,2855	0,27835	0,27734
16	0,2855	0,27858	0,27742
17	0,2855	0,27878	0,2775
18	0,2855	0,27902	0,27758
19	0,2855	0,27926	0,27767
20	0,2855	0,27955	0,27777
21	0,2855	0,2798	0,27786
22	0,2855	0,28007	0,27796
23	0,2855	0,28036	0,27807
24	0,2855	0,28066	0,27818
25	0,2855	0,28099	0,27829
26	0,2855	0,28129	0,2784
27	0,2855	0,28159	0,27852
28	0,2855	0,28192	0,27864
29	0,2855	0,28228	0,27877
30	0,2855	0,28264	0,2789
31	0,2855	0,28297	0,27903
32	0,2855	0,28331	0,27916
33	0,2855	0,28367	0,2793
34	0,2855	0,28403	0,27944
35	0,2855	0,28439	0,27958
36	0,2855	0,28474	0,27972
37	0,2855	0,2851	0,27987
38	0,2855	0,28551	0,28002
39	0,2855	0,28593	0,28017
40	0,2855	0,28635	0,28032
41	0,2855	0,28674	0,28048
42	0,2855	0,28709	0,28064
43	0,2855	0,28745	0,2808
44	0,2855	0,28781	0,28095
45	0,2855	0,28817	0,28112
46	0,2855	0,28853	0,28128
47	0,2855	0,28888	0,28144
48	0,2855	0,28924	0,2816
49	0,2855	0,28958	0,28176
50	0,2855	0,28988	0,28193
51	0,2855	0,29019	0,28209
52	0,2855	0,29055	0,28225
53	0,2855	0,29091	0,28241
54	0,2855	0,29126	0,28258
55	0,2855	0,2916	0,28274
56	0,2855	0,2919	0,28291
57	0,2855	0,29219	0,28307
58	0,2855	0,29249	0,28323
59	0,2855	0,29276	0,28339
60	0,2855	0,293	0,28355
61	0,2855	0,29324	0,28371
62	0,2855	0,29352	0,28387
63	0,2855	0,29376	0,28403
64	0,2855	0,29399	0,28418
65	0,2855	0,2942	0,28434
66	0,2855	0,29438	0,28449
67	0,2855	0,29456	0,28464
68	0,2855	0,29474	0,28479
69	0,2855	0,29491	0,28493
70	0,2855	0,29505	0,28508
71	0,2855	0,29517	0,28522
72	0,2855	0,29527	0,28536
73	0,2855	0,29539	0,2855
74	0,2855	0,29549	0,28563
75	0,2855	0,29555	0,28576
76	0,2855	0,29558	0,28589
77	0,2855	0,29564	0,28602
78	0,2855	0,29568	0,28614
79	0,2855	0,29568	0,28626
80	0,2855	0,29565	0,28638
81	0,2855	0,29564	0,2865
82	0,2855	0,29561	0,28661
83	0,2855	0,29555	0,28672
84	0,2855	0,29546	0,28682
85	0,2855	0,2954	0,28692
86	0,2855	0,2953	0,28702
87	0,2855	0,29518	0,28711
88	0,2855	0,29503	0,2872
89	0,2855	0,29491	0,28729
90	0,2855	0,29474	0,28737
91	0,2855	0,29455	0,28745
92	0,2855	0,29436	0,28753
93	0,2855	0,29417	0,2876
94	0,2855	0,29393	0,28766
95	0,2855	0,29369	0,28773
96	0,2855	0,29345	0,28779
97	0,2855	0,2932	0,28784
98	0,2855	0,29291	0,28789
99	0,2855	0,29262	0,28794
100	0,2855	0,29232	0,28799
101	0,2855	0,29202	0,28803
102	0,2855	0,29168	0,28806
103	0,2855	0,29133	0,28809
104	0,2855	0,291	0,28812
105	0,2855	0,29064	0,28815
106	0,2855	0,29029	0,28817
