"Time";"Ox";"H1";"H2"
0.1;-0.8961;0.4181;0.478
0.2;-0.8965;0.4185;0.478
0.3;-0.8971;0.4191;0.478
0.4;-0.8979;0.4199;0.478
0.5;-0.899;0.4209;0.4781
0.6;-0.9003;0.4222;0.4781
0.7;-0.9018;0.4237;0.4781
0.8;-0.9034;0.4254;0.4781
0.9;-0.9053;0.4272;0.4781
1;-0.9073;0.4293;0.478
1.1;-0.9095;0.4315;0.478
1.2;-0.9118;0.4339;0.4779
1.3;-0.9142;0.4364;0.4778
1.4;-0.9166;0.439;0.4776
1.5;-0.9192;0.4417;0.4774
1.6;-0.9217;0.4445;0.4772
1.7;-0.9243;0.4474;0.4769
1.8;-0.9269;0.4504;0.4765
1.9;-0.9295;0.4534;0.4761
2;-0.932;0.4564;0.4756
2.1;-0.9344;0.4594;0.475
2.2;-0.9367;0.4624;0.4744
2.3;-0.939;0.4653;0.4737
2.4;-0.9411;0.4682;0.4728
2.5;-0.943;0.471;0.472
2.6;-0.9448;0.4738;0.471
2.7;-0.9463;0.4764;0.4699
2.8;-0.9477;0.479;0.4687
2.9;-0.9489;0.4814;0.4675
3;-0.9498;0.4837;0.4662
3.1;-0.9505;0.4858;0.4648
3.2;-0.951;0.4877;0.4633
3.3;-0.9512;0.4895;0.4617
3.4;-0.9512;0.4912;0.4601
3.5;-0.951;0.4926;0.4584
3.6;-0.9505;0.4938;0.4566
3.7;-0.9498;0.4949;0.4548
3.8;-0.9488;0.4958;0.453
3.9;-0.9476;0.4965;0.4512
4;-0.9462;0.4969;0.4493
4.1;-0.9446;0.4972;0.4474
4.2;-0.9428;0.4973;0.4455
4.3;-0.9409;0.4972;0.4437
4.4;-0.9388;0.497;0.4418
4.5;-0.9366;0.4965;0.44
4.6;-0.9342;0.4959;0.4383
4.7;-0.9318;0.4952;0.4366
4.8;-0.9293;0.4943;0.435
4.9;-0.9267;0.4932;0.4335
5;-0.9241;0.492;0.4321
5.1;-0.9215;0.4907;0.4308
5.2;-0.919;0.4893;0.4296
5.3;-0.9164;0.4878;0.4286
5.4;-0.914;0.4863;0.4277
5.5;-0.9116;0.4846;0.427
5.6;-0.9093;0.4829;0.4264
5.7;-0.9071;0.4811;0.426
5.8;-0.9051;0.4794;0.4258
5.9;-0.9033;0.4775;0.4258
6;-0.9016;0.4757;0.4259
6.1;-0.9002;0.4739;0.4263
6.2;-0.8989;0.4721;0.4268
6.3;-0.8978;0.4703;0.4275
6.4;-0.897;0.4685;0.4285
6.5;-0.8964;0.4668;0.4296
6.6;-0.8961;0.4651;0.4309
6.7;-0.896;0.4635;0.4325
6.8;-0.8961;0.462;0.4342
6.9;-0.8965;0.4605;0.436
7;-0.8971;0.4591;0.4381
7.1;-0.898;0.4577;0.4403
7.2;-0.8991;0.4565;0.4426
7.3;-0.9004;0.4553;0.4451
7.4;-0.9019;0.4542;0.4477
7.5;-0.9036;0.4532;0.4504
7.6;-0.9054;0.4523;0.4532
7.7;-0.9075;0.4514;0.4561
7.8;-0.9096;0.4506;0.459
7.9;-0.9119;0.45;0.462
8;-0.9143;0.4493;0.465
8.1;-0.9168;0.4488;0.468
8.2;-0.9194;0.4483;0.4711
8.3;-0.9219;0.4479;0.474
8.4;-0.9246;0.4475;0.477
8.5;-0.9271;0.4472;0.4799
8.6;-0.9297;0.447;0.4827
8.7;-0.9322;0.4468;0.4854
8.8;-0.9346;0.4466;0.488
8.9;-0.9369;0.4465;0.4905
9;-0.9392;0.4463;0.4928
9.1;-0.9412;0.4462;0.495
9.2;-0.9431;0.4462;0.497
9.3;-0.9449;0.4461;0.4988
9.4;-0.9465;0.446;0.5004
9.5;-0.9478;0.446;0.5018
9.6;-0.949;0.4459;0.503
9.7;-0.9499;0.4459;0.504
9.8;-0.9506;0.4458;0.5048
